item_name,category,description,stats,passive,cost,image_url,document
Great Dragon Spear,Item / Attack,CD Reduction & Crit,"+70 Physical Attack, +10% Cooldown Reduction, +20% Crit Chance","Supreme Warrior After casting an Ultimate, increase Movement Speed by 30% for 7.5 seconds. This effect has a 15 seconds cooldown.",2140 gold,https://www.mlbbguides.com/tupian/zhuangbei/great-dragon-spear.png,"Item: Great Dragon Spear
Category: Item / Attack
Cost: 2140 gold
Description: CD Reduction & Crit
Stats: +70 Physical Attack, +10% Cooldown Reduction, +20% Crit Chance
Passive: Supreme Warrior After casting an Ultimate, increase Movement Speed by 30% for 7.5 seconds. This effect has a 15 seconds cooldown."
Haas' Claws,Item / Attack,Lifesteal,"+40 Physical Attack, +15% Attack Speed, +20% Crit Chance",unique +20% Lifesteal,2020 gold,https://www.mlbbguides.com/tupian/zhuangbei/haas-claws.png,"Item: Haas' Claws
Category: Item / Attack
Cost: 2020 gold
Description: Lifesteal
Stats: +40 Physical Attack, +15% Attack Speed, +20% Crit Chance
Passive: unique +20% Lifesteal"
Hunter Strike,Item / Attack,Brief Speed-Up,"+80 Physical Attack, +10% Cooldown Reduction",unique +15 Physical Penetration,2010 gold,https://www.mlbbguides.com/tupian/zhuangbei/hunter-strike.png,"Item: Hunter Strike
Category: Item / Attack
Cost: 2010 gold
Description: Brief Speed-Up
Stats: +80 Physical Attack, +10% Cooldown Reduction
Passive: unique +15 Physical Penetration"
Iron Hunting Bow,Item / Attack,"+10 Physical Attack, +5% Cooldown Reduction","+10 Physical Attack, +5% Cooldown Reduction",,450 gold,https://www.mlbbguides.com/tupian/zhuangbei/iron-hunting-bow.png,"Item: Iron Hunting Bow
Category: Item / Attack
Cost: 450 gold
Description: +10 Physical Attack, +5% Cooldown Reduction
Stats: +10 Physical Attack, +5% Cooldown Reduction
Passive:"
Javelin,Item / Attack,+8% Crit Chance,+8% Crit Chance,,320 gold,https://www.mlbbguides.com/tupian/zhuangbei/javelin.png,"Item: Javelin
Category: Item / Attack
Cost: 320 gold
Description: +8% Crit Chance
Stats: +8% Crit Chance
Passive:"
Knife,Item / Attack,+10% Attack Speed,+10% Attack Speed,,280 gold,https://www.mlbbguides.com/tupian/zhuangbei/knife.png,"Item: Knife
Category: Item / Attack
Cost: 280 gold
Description: +10% Attack Speed
Stats: +10% Attack Speed
Passive:"
Legion Sword,Item / Attack,+60 Physical Attack,+60 Physical Attack,,910 gold,https://www.mlbbguides.com/tupian/zhuangbei/legion-sword.png,"Item: Legion Sword
Category: Item / Attack
Cost: 910 gold
Description: +60 Physical Attack
Stats: +60 Physical Attack
Passive:"
Magic Blade,Item / Attack,"+35 Physical Attack, +10% Lifesteal","+35 Physical Attack, +10% Lifesteal","Lifeline When taking damage that reduces HP below 30%, gains a (+60*Hero Level) shield (increases with level) and 50% Movement Speed that rapidly decays over 3 seconds. This effect has a 60 seconds cooldown.",1050 gold,https://www.mlbbguides.com/tupian/zhuangbei/magic-blade.png,"Item: Magic Blade
Category: Item / Attack
Cost: 1050 gold
Description: +35 Physical Attack, +10% Lifesteal
Stats: +35 Physical Attack, +10% Lifesteal
Passive: Lifeline When taking damage that reduces HP below 30%, gains a (+60*Hero Level) shield (increases with level) and 50% Movement Speed that rapidly decays over 3 seconds. This effect has a 60 seconds cooldown."
Malefic Gun,Item / Attack,Attack Range Increase,"+40 Physical Attack, +20% Attack Speed",Armor Buster Increase Physical Penetration by 30%.,2120 gold,https://www.mlbbguides.com/tupian/zhuangbei/malefic-gun.png,"Item: Malefic Gun
Category: Item / Attack
Cost: 2120 gold
Description: Attack Range Increase
Stats: +40 Physical Attack, +20% Attack Speed
Passive: Armor Buster Increase Physical Penetration by 30%."
Malefic Roar,Item / Attack,High Physical Penetration,+60 Physical Attack,Armor Buster Increase Physical Penetration by 30%.,2060 gold,https://www.mlbbguides.com/tupian/zhuangbei/malefic-roar.png,"Item: Malefic Roar
Category: Item / Attack
Cost: 2060 gold
Description: High Physical Penetration
Stats: +60 Physical Attack
Passive: Armor Buster Increase Physical Penetration by 30%."
Ogre Tomahawk,Item / Attack,"+25 Physical Attack, +230 HP","+25 Physical Attack, +230 HP",,650 gold,https://www.mlbbguides.com/tupian/zhuangbei/ogre-tomahawk.png,"Item: Ogre Tomahawk
Category: Item / Attack
Cost: 650 gold
Description: +25 Physical Attack, +230 HP
Stats: +25 Physical Attack, +230 HP
Passive:"
Power Potion,Item / Attack,"Automatically used after purchasing, giving 30 Physical Attack and 15% of Lifesteal for 120s. Can only have one potion effect at...","Automatically used after purchasing, giving 30 Physical Attack and 15% of Lifesteal for 120s. Can only have one potion effect at a time.","Increase Power Automatically used after purchasing, giving 30 Physical Attack and 15% of Lifesteal for 120s. Can only have one potion effect at a time.",1500 gold,https://www.mlbbguides.com/tupian/zhuangbei/power-potion.png,"Item: Power Potion
Category: Item / Attack
Cost: 1500 gold
Description: Automatically used after purchasing, giving 30 Physical Attack and 15% of Lifesteal for 120s. Can only have one potion effect at...
Stats: Automatically used after purchasing, giving 30 Physical Attack and 15% of Lifesteal for 120s. Can only have one potion effect at a time.
Passive: Increase Power Automatically used after purchasing, giving 30 Physical Attack and 15% of Lifesteal for 120s. Can only have one potion effect at a time."
Regular Spear,Item / Attack,"+20 Physical Attack, +10% Attack Speed","+20 Physical Attack, +10% Attack Speed",,600 gold,https://www.mlbbguides.com/tupian/zhuangbei/regular-spear.png,"Item: Regular Spear
Category: Item / Attack
Cost: 600 gold
Description: +20 Physical Attack, +10% Attack Speed
Stats: +20 Physical Attack, +10% Attack Speed
Passive:"
Rogue Meteor,Item / Attack,"+15% Attack Speed, +10% Crit Chance","+15% Attack Speed, +10% Crit Chance",,900 gold,https://www.mlbbguides.com/tupian/zhuangbei/rogue-meteor.png,"Item: Rogue Meteor
Category: Item / Attack
Cost: 900 gold
Description: +15% Attack Speed, +10% Crit Chance
Stats: +15% Attack Speed, +10% Crit Chance
Passive:"
Rose Gold Meteor,Item / Attack,Low-HP Shield,"+30 Physical Attack, +20% Attack Speed, +10% Lifesteal","Dragon Scale Every 4 extra Physical Attack increases Hybrid Defense by 1, up to 50 (effect is halved if Main Role is not Fighter).",2030 gold,https://www.mlbbguides.com/tupian/zhuangbei/rose-gold-meteor.png,"Item: Rose Gold Meteor
Category: Item / Attack
Cost: 2030 gold
Description: Low-HP Shield
Stats: +30 Physical Attack, +20% Attack Speed, +10% Lifesteal
Passive: Dragon Scale Every 4 extra Physical Attack increases Hybrid Defense by 1, up to 50 (effect is halved if Main Role is not Fighter)."
Sea Halberd,Item / Attack,Healing Reduction,"+80 Physical Attack, +20% Attack Speed",Lifebane Dealing damage to a target will reduce the Shield and HP Regen effects on them to 60% of normal for 3 seconds.,2050 gold,https://www.mlbbguides.com/tupian/zhuangbei/sea-halberd.png,"Item: Sea Halberd
Category: Item / Attack
Cost: 2050 gold
Description: Healing Reduction
Stats: +80 Physical Attack, +20% Attack Speed
Passive: Lifebane Dealing damage to a target will reduce the Shield and HP Regen effects on them to 60% of normal for 3 seconds."
Swift Crossbow,Item / Attack,+20% Attack Speed,+20% Attack Speed,Crossbow Each Basic Attack deals 40 extra Adaptive Damage.,1000 gold,https://www.mlbbguides.com/tupian/zhuangbei/swift-crossbow.png,"Item: Swift Crossbow
Category: Item / Attack
Cost: 1000 gold
Description: +20% Attack Speed
Stats: +20% Attack Speed
Passive: Crossbow Each Basic Attack deals 40 extra Adaptive Damage."
Vampire Mallet,Item / Attack,"+8 Physical Attack, +8% Lifesteal","+8 Physical Attack, +8% Lifesteal",,400 gold,https://www.mlbbguides.com/tupian/zhuangbei/vampire-mallet.png,"Item: Vampire Mallet
Category: Item / Attack
Cost: 400 gold
Description: +8 Physical Attack, +8% Lifesteal
Stats: +8 Physical Attack, +8% Lifesteal
Passive:"
War Axe,Item / Attack,Continuous Damage Boost,"+35 Physical Attack, +400 HP, +10% Cooldown Reduction, +8% Hybrid Lifesteal","Fighting Spirit Attacks grants 12 extra Physical Attack per second for 4 seconds, up to 6 stacks. Deals 10% extra True Damage based on the damage dealt (no damage reduction counted) at full stacks. (Marksmen, Mages, and Supports only receive 50% of these stacked effects.)",2100 gold,https://www.mlbbguides.com/tupian/zhuangbei/war-axe.png,"Item: War Axe
Category: Item / Attack
Cost: 2100 gold
Description: Continuous Damage Boost
Stats: +35 Physical Attack, +400 HP, +10% Cooldown Reduction, +8% Hybrid Lifesteal
Passive: Fighting Spirit Attacks grants 12 extra Physical Attack per second for 4 seconds, up to 6 stacks. Deals 10% extra True Damage based on the damage dealt (no damage reduction counted) at full stacks. (Marksmen, Mages, and Supports only receive 50% of these stacked effects.)"
Wind of Nature,Item / Attack,Physical Damage Immunity,"+30 Physical Attack, +20% Attack Speed, +10% Lifesteal",Wind Chant Become immune to all Physical Damage for 2 seconds (duration is halved if Main Role is not Marksman; 90 seconds cooldown).,1910 gold,https://www.mlbbguides.com/tupian/zhuangbei/wind-of-nature.png,"Item: Wind of Nature
Category: Item / Attack
Cost: 1910 gold
Description: Physical Damage Immunity
Stats: +30 Physical Attack, +20% Attack Speed, +10% Lifesteal
Passive: Wind Chant Become immune to all Physical Damage for 2 seconds (duration is halved if Main Role is not Marksman; 90 seconds cooldown)."
Windtalker,Item / Attack,Splash Damage,"+35% Attack Speed, +20% Crit Chance, +20 Movement Speed","Typhoon Every 5–2 seconds (reduced by 0.2 seconds for each Basic Attack), the next Basic Attack will hit up to 3 enemy units for 150–362 Magic Damage. (This attack can Crit and the damage increases to 200% against Minions.)",1880 gold,https://www.mlbbguides.com/tupian/zhuangbei/windtalker.png,"Item: Windtalker
Category: Item / Attack
Cost: 1880 gold
Description: Splash Damage
Stats: +35% Attack Speed, +20% Crit Chance, +20 Movement Speed
Passive: Typhoon Every 5–2 seconds (reduced by 0.2 seconds for each Basic Attack), the next Basic Attack will hit up to 3 enemy units for 150–362 Magic Damage. (This attack can Crit and the damage increases to 200% against Minions.)"
Expert Gloves,Item / Attack & Magic,"+30 Adaptive Attack,","+30 Adaptive Attack,",,500 gold,https://www.mlbbguides.com/tupian/zhuangbei/expert-gloves.png,"Item: Expert Gloves
Category: Item / Attack & Magic
Cost: 500 gold
Description: +30 Adaptive Attack,
Stats: +30 Adaptive Attack,
Passive:"
Sky Piercer,Item / Attack & Magic,Best for Finishers,"+60 Adaptive Attack, +15 Movement Speed","Lethality After dealing damage to an enemy hero, executes the hero if their HP is lower than 4%. Gains 10 stack(s) of Lethality for each kill and loses 30% current stack(s) for each death. Each stack of Lethality increases the HP threshold of the execute effect by 0.1%, stacking up 80 times.",1500 gold,https://www.mlbbguides.com/tupian/zhuangbei/sky-piercer.png,"Item: Sky Piercer
Category: Item / Attack & Magic
Cost: 1500 gold
Description: Best for Finishers
Stats: +60 Adaptive Attack, +15 Movement Speed
Passive: Lethality After dealing damage to an enemy hero, executes the hero if their HP is lower than 4%. Gains 10 stack(s) of Lethality for each kill and loses 30% current stack(s) for each death. Each stack of Lethality increases the HP threshold of the execute effect by 0.1%, stacking up 80 times."
Winter Crown,Item / Attack & Magic,Temporary Invincibility,"+45 Adaptive Attack, +400 HP, +5% Cooldown Reduction","Frozen Becomes frozen, untargetable, and immune to damage for 2 seconds (100 seconds cooldown). Cannot move or cast skills while frozen, but skills already cast won't be interrupted.",1910 gold,https://www.mlbbguides.com/tupian/zhuangbei/winter-crown.png,"Item: Winter Crown
Category: Item / Attack & Magic
Cost: 1910 gold
Description: Temporary Invincibility
Stats: +45 Adaptive Attack, +400 HP, +5% Cooldown Reduction
Passive: Frozen Becomes frozen, untargetable, and immune to damage for 2 seconds (100 seconds cooldown). Cannot move or cast skills while frozen, but skills already cast won't be interrupted."
Antique Cuirass,Item / Defense,Physical Attack Reduction,"+920 HP, +40 Physical Defense, +4 HP Regen","Deter When hit by a skill, reduces the attacker's Physical Damage by 6% for 2 seconds (this effect stacks up to 3 times).",2170 gold,https://www.mlbbguides.com/tupian/zhuangbei/antique-cuirass.png,"Item: Antique Cuirass
Category: Item / Defense
Cost: 2170 gold
Description: Physical Attack Reduction
Stats: +920 HP, +40 Physical Defense, +4 HP Regen
Passive: Deter When hit by a skill, reduces the attacker's Physical Damage by 6% for 2 seconds (this effect stacks up to 3 times)."
Ares Belt,Item / Defense,+600 HP,+600 HP,,700 gold,https://www.mlbbguides.com/tupian/zhuangbei/ares-belt.png,"Item: Ares Belt
Category: Item / Defense
Cost: 700 gold
Description: +600 HP
Stats: +600 HP
Passive:"
Athena's Shield,Item / Defense,Resist Burst Magic Damage,"+900 HP, +48 Magic Defense, +2 HP Regen","Shield Upon taking Magic Damage from enemy hero skills or Basic Attacks, reduces Magic Damage taken by 25% for 3 seconds (including the damage that triggers the effect)s. Regains this effect 5 seconds after leaving combat.",2150 gold,https://www.mlbbguides.com/tupian/zhuangbei/athenas-shield.png,"Item: Athena's Shield
Category: Item / Defense
Cost: 2150 gold
Description: Resist Burst Magic Damage
Stats: +900 HP, +48 Magic Defense, +2 HP Regen
Passive: Shield Upon taking Magic Damage from enemy hero skills or Basic Attacks, reduces Magic Damage taken by 25% for 3 seconds (including the damage that triggers the effect)s. Regains this effect 5 seconds after leaving combat."
Black Ice Shield,Item / Defense,"+20 Physical Defense, +20 Magic Defense","+20 Physical Defense, +20 Magic Defense","Fortress Shield For each enemy hero within 3.55 units, Hybrid Defense is increased by 4, up to 20.",780 gold,https://www.mlbbguides.com/tupian/zhuangbei/black-ice-shield.png,"Item: Black Ice Shield
Category: Item / Defense
Cost: 780 gold
Description: +20 Physical Defense, +20 Magic Defense
Stats: +20 Physical Defense, +20 Magic Defense
Passive: Fortress Shield For each enemy hero within 3.55 units, Hybrid Defense is increased by 4, up to 20."
Blade Armor,Item / Defense,Damage Reflection,+80 Physical Defense,unique +20% Crit Damage Reduction,1910 gold,https://www.mlbbguides.com/tupian/zhuangbei/blade-armor.png,"Item: Blade Armor
Category: Item / Defense
Cost: 1910 gold
Description: Damage Reflection
Stats: +80 Physical Defense
Passive: unique +20% Crit Damage Reduction"
Brute Force Breastplate,Item / Defense,"Attack, Speed Up, CC Reduction","+800 HP, +20 Physical Defense, +10% Cooldown Reduction","Brute Force Each second after dealing damage, gain 8 extra Adaptive Attack and 2% extra Movement Speed for 4 seconds, up to 6 stacks. Gain 25% extra Control Duration Reduction at full stacks.",2070 gold,https://www.mlbbguides.com/tupian/zhuangbei/brute-force-breastplate.png,"Item: Brute Force Breastplate
Category: Item / Defense
Cost: 2070 gold
Description: Attack, Speed Up, CC Reduction
Stats: +800 HP, +20 Physical Defense, +10% Cooldown Reduction
Passive: Brute Force Each second after dealing damage, gain 8 extra Adaptive Attack and 2% extra Movement Speed for 4 seconds, up to 6 stacks. Gain 25% extra Control Duration Reduction at full stacks."
Chastise Pauldron,Item / Defense,Reduce Enemy Attack Speed,"+900 HP, +40 Physical Defense",Chastise Taking damage will reduce the Attack Speed and Attack Speed cap of the attacker to 75% of normal for 2 seconds.,2100 gold,https://www.mlbbguides.com/tupian/zhuangbei/chastise-pauldron.png,"Item: Chastise Pauldron
Category: Item / Defense
Cost: 2100 gold
Description: Reduce Enemy Attack Speed
Stats: +900 HP, +40 Physical Defense
Passive: Chastise Taking damage will reduce the Attack Speed and Attack Speed cap of the attacker to 75% of normal for 2 seconds."
Cursed Helmet,Item / Defense,Survivability & Lane Clearing,"+1200 HP, +20 Magic Defense",Burning Soul Deals (1.2% Total HP) Magic Damage to nearby enemies per second. This damage is increased by 125(+15*Hero Level)% against creeps and minions.,1910 gold,https://www.mlbbguides.com/tupian/zhuangbei/cursed-helmet.png,"Item: Cursed Helmet
Category: Item / Defense
Cost: 1910 gold
Description: Survivability & Lane Clearing
Stats: +1200 HP, +20 Magic Defense
Passive: Burning Soul Deals (1.2% Total HP) Magic Damage to nearby enemies per second. This damage is increased by 125(+15*Hero Level)% against creeps and minions."
Dominance Ice,Item / Defense,Healing Reduction,"+40 Physical Defense, +40 Magic Defense, +5% Movement Speed","Fortress Shield For each enemy hero within 5 units, Hybrid Defense is increased by 8, up to 40.",2010 gold,https://www.mlbbguides.com/tupian/zhuangbei/dominance-ice.png,"Item: Dominance Ice
Category: Item / Defense
Cost: 2010 gold
Description: Healing Reduction
Stats: +40 Physical Defense, +40 Magic Defense, +5% Movement Speed
Passive: Fortress Shield For each enemy hero within 5 units, Hybrid Defense is increased by 8, up to 40."
Dreadnaught Armor,Item / Defense,+30 Physical Defense,+30 Physical Defense,"Deter When hit by a skill, reduces the attacker's Physical Damage by 4% for 2 seconds (this effect stacks up to 3 times).",730 gold,https://www.mlbbguides.com/tupian/zhuangbei/dreadnaught-armor.png,"Item: Dreadnaught Armor
Category: Item / Defense
Cost: 730 gold
Description: +30 Physical Defense
Stats: +30 Physical Defense
Passive: Deter When hit by a skill, reduces the attacker's Physical Damage by 4% for 2 seconds (this effect stacks up to 3 times)."
Guardian Helmet,Item / Defense,Constant HP Regen,"+1800 HP, +20 HP Regen","Recovery After 5 seconds out of combat, recover (2.5% Total HP) HP per second.",2500 gold,https://www.mlbbguides.com/tupian/zhuangbei/guardian-helmet.png,"Item: Guardian Helmet
Category: Item / Defense
Cost: 2500 gold
Description: Constant HP Regen
Stats: +1800 HP, +20 HP Regen
Passive: Recovery After 5 seconds out of combat, recover (2.5% Total HP) HP per second."
Healing Necklace,Item / Defense,+4 HP Regen,+4 HP Regen,,140 gold,https://www.mlbbguides.com/tupian/zhuangbei/healing-necklace.png,"Item: Healing Necklace
Category: Item / Defense
Cost: 140 gold
Description: +4 HP Regen
Stats: +4 HP Regen
Passive:"
Hero's Ring,Item / Defense,"+150 HP, +5% Cooldown Reduction","+150 HP, +5% Cooldown Reduction",,450 gold,https://www.mlbbguides.com/tupian/zhuangbei/heros-ring.png,"Item: Hero's Ring
Category: Item / Defense
Cost: 450 gold
Description: +150 HP, +5% Cooldown Reduction
Stats: +150 HP, +5% Cooldown Reduction
Passive:"
Immortality,Item / Defense,Self-Resurrection,"+850 HP, +15 Physical Defense",Immortal Resurrect 2.5 seconds upon death and gets 16% Max HP and a shield that can absorb 150(+70*Hero Level）damage. Shield lasts 3 seconds. This effect has a 210 seconds cooldown.,2120 gold,https://www.mlbbguides.com/tupian/zhuangbei/immortality.png,"Item: Immortality
Category: Item / Defense
Cost: 2120 gold
Description: Self-Resurrection
Stats: +850 HP, +15 Physical Defense
Passive: Immortal Resurrect 2.5 seconds upon death and gets 16% Max HP and a shield that can absorb 150(+70*Hero Level）damage. Shield lasts 3 seconds. This effect has a 210 seconds cooldown."
Leather Jerkin,Item / Defense,+14 Physical Defense,+14 Physical Defense,,220 gold,https://www.mlbbguides.com/tupian/zhuangbei/leather-jerkin.png,"Item: Leather Jerkin
Category: Item / Defense
Cost: 220 gold
Description: +14 Physical Defense
Stats: +14 Physical Defense
Passive:"
Magic Resist Cloak,Item / Defense,+14 Magic Defense,+14 Magic Defense,,220 gold,https://www.mlbbguides.com/tupian/zhuangbei/magic-resist-cloak.png,"Item: Magic Resist Cloak
Category: Item / Defense
Cost: 220 gold
Description: +14 Magic Defense
Stats: +14 Magic Defense
Passive:"
Molten Essence,Item / Defense,+540 HP,+540 HP,Burning Soul Deals (0.6% Total HP) Magic Damage to nearby enemies per second. This damage is increased by 125(+15*Hero Level)% against creeps and minions.,800 gold,https://www.mlbbguides.com/tupian/zhuangbei/molten-essence.png,"Item: Molten Essence
Category: Item / Defense
Cost: 800 gold
Description: +540 HP
Stats: +540 HP
Passive: Burning Soul Deals (0.6% Total HP) Magic Damage to nearby enemies per second. This damage is increased by 125(+15*Hero Level)% against creeps and minions."
Oracle,Item / Defense,Enhanced Regen,"+850 HP, +20 Physical Defense, +20 Magic Defense, +10% Cooldown Reduction",Bless Received Shield and HP Regen effects are increased by 25%.,1860 gold,https://www.mlbbguides.com/tupian/zhuangbei/oracle.png,"Item: Oracle
Category: Item / Defense
Cost: 1860 gold
Description: Enhanced Regen
Stats: +850 HP, +20 Physical Defense, +20 Magic Defense, +10% Cooldown Reduction
Passive: Bless Received Shield and HP Regen effects are increased by 25%."
Queen's Wings,Item / Defense,Low-HP Retaliation,"+750 HP, +30 Adaptive Attack, +10% Cooldown Reduction, +10% Spell Vamp","Demonize When HP drops below 40%, gains 30% Damage Reduction for 3 seconds and reduces skill cooldowns by 2 seconds. This effect has a 60 seconds cooldown.",2250 gold,https://www.mlbbguides.com/tupian/zhuangbei/queens-wings.png,"Item: Queen's Wings
Category: Item / Defense
Cost: 2250 gold
Description: Low-HP Retaliation
Stats: +750 HP, +30 Adaptive Attack, +10% Cooldown Reduction, +10% Spell Vamp
Passive: Demonize When HP drops below 40%, gains 30% Damage Reduction for 3 seconds and reduces skill cooldowns by 2 seconds. This effect has a 60 seconds cooldown."
Radiant Armor,Item / Defense,Magic Damage Reduction,"+950 HP, +40 Magic Defense, +12 HP Regen","Holy Blessing Taking Magic Damage grants 5(+1*Hero Level) Magic Defense for 5 seconds, up to 6 stacks (can only gain 1 stack(s) every 0.4 seconds).",1880 gold,https://www.mlbbguides.com/tupian/zhuangbei/radiant-armor.png,"Item: Radiant Armor
Category: Item / Defense
Cost: 1880 gold
Description: Magic Damage Reduction
Stats: +950 HP, +40 Magic Defense, +12 HP Regen
Passive: Holy Blessing Taking Magic Damage grants 5(+1*Hero Level) Magic Defense for 5 seconds, up to 6 stacks (can only gain 1 stack(s) every 0.4 seconds)."
Rock Potion,Item / Defense,"Upon purchase, grants 500 Max HP and 5% Damage Reduction for 120 seconds. Can only have one potion effect at a time.","Upon purchase, grants 500 Max HP and 5% Damage Reduction for 120 seconds. Can only have one potion effect at a time.","Increase Power Upon purchase, grants 500 Max HP and 5% Damage Reduction for 120 seconds. Can only have one potion effect at a time.",1500 gold,https://www.mlbbguides.com/tupian/zhuangbei/rock-potion.png,"Item: Rock Potion
Category: Item / Defense
Cost: 1500 gold
Description: Upon purchase, grants 500 Max HP and 5% Damage Reduction for 120 seconds. Can only have one potion effect at a time.
Stats: Upon purchase, grants 500 Max HP and 5% Damage Reduction for 120 seconds. Can only have one potion effect at a time.
Passive: Increase Power Upon purchase, grants 500 Max HP and 5% Damage Reduction for 120 seconds. Can only have one potion effect at a time."
Silence Robe,Item / Defense,"+540 HP, +23 Magic Defense","+540 HP, +23 Magic Defense",,1020 gold,https://www.mlbbguides.com/tupian/zhuangbei/silence-robe.png,"Item: Silence Robe
Category: Item / Defense
Cost: 1020 gold
Description: +540 HP, +23 Magic Defense
Stats: +540 HP, +23 Magic Defense
Passive:"
Steel Legplates,Item / Defense,+35 Physical Defense,+35 Physical Defense,,630 gold,https://www.mlbbguides.com/tupian/zhuangbei/steel-legplates.png,"Item: Steel Legplates
Category: Item / Defense
Cost: 630 gold
Description: +35 Physical Defense
Stats: +35 Physical Defense
Passive:"
